,playerId,docId,dateTime,op,targetType,id,prev,next,order,dateTimeMS,frequency,seconds,isCorrect
133,7,20190522092015929922a37f931a96f042c2b4d7492c88297a69,2019-05-22T09:22:21,cc_completed,span,,,,"s10,s11,s13,s12,s14,s16,s15,s17,s18",2019-05-22T09:22:21.662Z,10.0,117.85099983215332,0.0
239,13,2019051405585358563336a0484749064e508b991fdaf6b4ec5d,2019-05-14T06:00:01,cc_completed,span,,,,"s10,s11,s13,s12,s14,s15,s16,s17,s18",2019-05-14T06:00:01.795Z,6.0,64.24900007247925,0.0
405,22,20190516083931951478130f33f796bc4f0382c82b066cdad1b8,2019-05-16T08:40:29,cc_completed,span,,,,"s10,s11,s12,s13,s18,s14,s15,s16,s17",2019-05-16T08:40:29.771Z,4.0,54.63599991798401,0.0
465,26,201905160847161852702c8733cc9b8e4d6c8112021e29f07249,2019-05-16T08:49:32,cc_completed,span,,,,"s10,s11,s15,s17,s18,s14,s16,s12,s13",2019-05-16T08:49:32.587Z,2.0,133.44599986076355,0.0
695,40,201905160739560928756cb763c2ba7b40dcacbb8f943956a3e0,2019-05-16T07:41:49,cc_completed,span,,,,"s10,s11,s12,s13,s14,s16,s15,s17,s18",2019-05-16T07:41:49.581Z,7.0,112.69800019264221,0.0
721,41,201905160826290265149b6cd7d6d40d4c089a87426de60a380f,2019-05-16T08:27:53,cc_completed,span,,,,"s10,s11,s12,s13,s18,s14,s15,s16,s17",2019-05-16T08:27:53.175Z,12.0,83.53600001335144,0.0
767,44,20190516085156177899c3826e36558946bfba26304d28af96f0,2019-05-16T08:54:39,cc_completed,span,,,,"s13,s10,s11,s18,s12,s14,s15,s16,s17",2019-05-16T08:54:39.349Z,6.0,160.5,0.0
